Start Date,36129,...3,...4,...5
End Date,43830,,,
,,,,
,NG1 Comdty,,NG2 Comdty,
Dates,Last Price,CURRENT_CONTRACT_MONTH_YR,Last Price,CURRENT_CONTRACT_MONTH_YR
36129,1.976,JAN 99,1.9990000000000001,FEB 99
36160,1.9449999999999998,FEB 99,1.9359999999999999,MAR 99
36189,1.7770000000000001,MAR 99,1.8029999999999999,APR 99
36217,1.6280000000000001,APR 99,1.661,MAY 99
36250,2.0129999999999999,MAY 99,2.0409999999999999,JUN 99
36280,2.2530000000000001,JUN 99,2.2690000000000001,JUL 99
36311,2.3580000000000001,JUL 99,2.3740000000000001,AUG 99
36341,2.3940000000000001,AUG 99,2.419,SEP 99
36371,2.5430000000000001,SEP 99,2.5659999999999998,OCT 99
36403,2.8250000000000002,OCT 99,2.9550000000000001,NOV 99
36433,2.7439999999999998,NOV 99,2.94,DEC 99
36462,2.9609999999999999,DEC 99,2.9830000000000001,JAN 00
36494,2.3039999999999998,JAN 00,2.319,FEB 00
36525,2.3290000000000002,FEB 00,2.3279999999999998,MAR 00
36556,2.6619999999999999,MAR 00,2.593,APR 00
36585,2.7610000000000001,APR 00,2.7709999999999999,MAY 00
36616,2.9449999999999998,MAY 00,2.9550000000000001,JUN 00
36644,3.141,JUN 00,3.1579999999999999,JUL 00
36677,4.3559999999999999,JUL 00,4.343,AUG 00
36707,4.476,AUG 00,4.4420000000000002,SEP 00
36738,3.774,SEP 00,3.798,OCT 00
36769,4.782,OCT 00,4.84,NOV 00
36798,5.1859999999999999,NOV 00,5.2809999999999997,DEC 00
36830,4.49,DEC 00,4.5309999999999997,JAN 01
36860,6.5890000000000004,JAN 01,6.4180000000000001,FEB 01
36889,9.7750000000000004,FEB 01,8.7910000000000004,MAR 01
36922,5.7069999999999999,MAR 01,5.3,APR 01
36950,5.2359999999999998,APR 01,5.2839999999999998,MAY 01
36980,5.0250000000000004,MAY 01,5.0720000000000001,JUN 01
37011,4.6950000000000003,JUN 01,4.7649999999999997,JUL 01
37042,3.9140000000000001,JUL 01,3.99,AUG 01
37071,3.0960000000000001,AUG 01,3.1720000000000002,SEP 01
37103,3.2959999999999998,SEP 01,3.3410000000000002,OCT 01
37134,2.38,OCT 01,2.71,NOV 01
37162,2.2439999999999998,NOV 01,2.6219999999999999,DEC 01
37195,3.2909999999999999,DEC 01,3.4279999999999999,JAN 02
37225,2.7010000000000001,JAN 02,2.786,FEB 02
37256,2.57,FEB 02,2.56,MAR 02
37287,2.1379999999999999,MAR 02,2.19,APR 02
37315,2.3570000000000002,APR 02,2.415,MAY 02
37344,3.2829999999999999,MAY 02,3.3090000000000002,JUN 02
37376,3.7949999999999999,JUN 02,3.823,JUL 02
37407,3.2170000000000001,JUL 02,3.2800000000000002,AUG 02
37435,3.2450000000000001,AUG 02,3.2730000000000001,SEP 02
37468,2.9539999999999997,SEP 02,2.9710000000000001,OCT 02
37498,3.2959999999999998,OCT 02,3.6259999999999999,NOV 02
37529,4.1379999999999999,NOV 02,4.3230000000000004,DEC 02
37560,4.1559999999999997,DEC 02,4.2560000000000002,JAN 03
37589,4.2,JAN 03,4.1449999999999996,FEB 03
37621,4.7889999999999997,FEB 03,4.6920000000000002,MAR 03
37652,5.6050000000000004,MAR 03,5.3449999999999998,APR 03
37680,8.1010000000000009,APR 03,6.0709999999999997,MAY 03
37711,5.0599999999999996,MAY 03,5.0999999999999996,JUN 03
37741,5.3849999999999998,JUN 03,5.4649999999999999,JUL 03
37771,6.2510000000000003,JUL 03,6.31,AUG 03
37802,5.4109999999999996,AUG 03,5.4530000000000003,SEP 03
37833,4.718,SEP 03,4.7480000000000002,OCT 03
37862,4.7309999999999999,OCT 03,4.9809999999999999,NOV 03
37894,4.83,NOV 03,5.0819999999999999,DEC 03
37925,4.8929999999999998,DEC 03,5.1289999999999996,JAN 04
37953,4.9249999999999998,JAN 04,4.9619999999999997,FEB 04
37986,6.1890000000000001,FEB 04,5.9960000000000004,MAR 04
38016,5.3970000000000002,MAR 04,5.1130000000000004,APR 04
38044,5.4160000000000004,APR 04,5.4610000000000003,MAY 04
38077,5.9329999999999998,MAY 04,5.9829999999999997,JUN 04
38107,5.8620000000000001,JUN 04,5.95,JUL 04
38138,6.4420000000000002,JUL 04,6.4889999999999999,AUG 04
38168,6.1550000000000002,AUG 04,6.1740000000000004,SEP 04
38198,6.1120000000000001,SEP 04,6.1820000000000004,OCT 04
38230,5.0739999999999998,OCT 04,5.7169999999999996,NOV 04
38260,6.7949999999999999,NOV 04,7.6349999999999998,DEC 04
38289,8.7249999999999996,DEC 04,9.3829999999999991,JAN 05
38321,7.62,JAN 05,7.7149999999999999,FEB 05
38352,6.149,FEB 05,6.1950000000000003,MAR 05
38383,6.3209999999999997,MAR 05,6.3460000000000001,APR 05
38411,6.73,APR 05,6.8100000000000005,MAY 05
38442,7.6530000000000005,MAY 05,7.758,JUN 05
38471,6.585,JUN 05,6.694,JUL 05
38503,6.3789999999999996,JUL 05,6.452,AUG 05
38533,6.9809999999999999,AUG 05,7.0309999999999997,SEP 05
38562,7.8849999999999998,SEP 05,7.9429999999999996,OCT 05
38595,11.472,OCT 05,11.657,NOV 05
38625,13.920999999999999,NOV 05,14.430999999999999,DEC 05
38656,12.205,DEC 05,12.641,JAN 06
38686,12.587,JAN 06,12.686999999999999,FEB 06
38716,11.225,FEB 06,11.359,MAR 06
38748,9.3160000000000007,MAR 06,9.4359999999999999,APR 06
38776,6.7140000000000004,APR 06,6.9089999999999998,MAY 06
38807,7.21,MAY 06,7.42,JUN 06
38835,6.5549999999999997,JUN 06,6.8100000000000005,JUL 06
38868,6.3840000000000003,JUL 06,6.6210000000000004,AUG 06
38898,6.1040000000000001,AUG 06,6.3689999999999998,SEP 06
38929,8.2110000000000003,SEP 06,8.4510000000000005,OCT 06
38960,6.048,OCT 06,8.2279999999999998,NOV 06
38989,5.62,NOV 06,7.3449999999999998,DEC 06
39021,7.5339999999999998,DEC 06,7.9980000000000002,JAN 07
39051,8.8439999999999994,JAN 07,8.8940000000000001,FEB 07
39080,6.2990000000000004,FEB 07,6.5030000000000001,MAR 07
39113,7.6669999999999998,MAR 07,7.6550000000000002,APR 07
39141,7.3,APR 07,7.4050000000000002,MAY 07
39171,7.73,MAY 07,7.87,JUN 07
39202,7.8629999999999995,JUN 07,8.016,JUL 07
39233,7.9350000000000005,JUL 07,8.0570000000000004,AUG 07
39262,6.7729999999999997,AUG 07,6.8680000000000003,SEP 07
39294,6.1909999999999998,SEP 07,6.4210000000000003,OCT 07
39325,5.468,OCT 07,6.4610000000000003,NOV 07
39353,6.87,NOV 07,7.7050000000000001,DEC 07
39386,8.33,DEC 07,8.66,JAN 08
39416,7.3019999999999996,JAN 08,7.3710000000000004,FEB 08
39447,7.4829999999999997,FEB 08,7.5209999999999999,MAR 08
39478,8.0739999999999998,MAR 08,8.0739999999999998,APR 08
39507,9.3659999999999997,APR 08,9.4169999999999998,MAY 08
39538,10.101000000000001,MAY 08,10.177,JUN 08
39568,10.843,JUN 08,10.978999999999999,JUL 08
39598,11.702999999999999,JUL 08,11.795,AUG 08
39629,13.353,AUG 08,13.417999999999999,SEP 08
39660,9.1189999999999998,SEP 08,9.2240000000000002,OCT 08
39689,7.9429999999999996,OCT 08,8.3629999999999995,NOV 08
39721,7.4379999999999997,NOV 08,7.7880000000000003,DEC 08
39752,6.7830000000000004,DEC 08,7.0529999999999999,JAN 09
39780,6.51,JAN 09,6.57,FEB 09
39813,5.6219999999999999,FEB 09,5.657,MAR 09
39843,4.4169999999999998,MAR 09,4.4889999999999999,APR 09
39871,4.1980000000000004,APR 09,4.2780000000000005,MAY 09
39903,3.7759999999999998,MAY 09,3.915,JUN 09
39933,3.3730000000000002,JUN 09,3.5150000000000001,JUL 09
39962,3.835,JUL 09,3.9580000000000002,AUG 09
39994,3.835,AUG 09,3.9820000000000002,SEP 09
40025,3.653,SEP 09,3.9089999999999998,OCT 09
40056,2.9769999999999999,OCT 09,3.9980000000000002,NOV 09
40086,4.8410000000000002,NOV 09,5.6740000000000004,DEC 09
40116,5.0449999999999999,DEC 09,5.39,JAN 10
40147,4.8479999999999999,JAN 10,4.9420000000000002,FEB 10
40178,5.5720000000000001,FEB 10,5.532,MAR 10
40207,5.1310000000000002,MAR 10,5.12,APR 10
40235,4.8129999999999997,APR 10,4.8789999999999996,MAY 10
40268,3.8689999999999998,MAY 10,3.9649999999999999,JUN 10
40298,3.92,JUN 10,4.05,JUL 10
40329,4.3410000000000002,JUL 10,4.4089999999999998,AUG 10
40359,4.6159999999999997,AUG 10,4.6520000000000001,SEP 10
40389,4.923,SEP 10,4.9329999999999998,OCT 10
40421,3.8159999999999998,OCT 10,4.1479999999999997,NOV 10
40451,3.8719999999999999,NOV 10,4.1219999999999999,DEC 10
40480,4.0380000000000003,DEC 10,4.2649999999999997,JAN 11
40512,4.18,JAN 11,4.1989999999999998,FEB 11
40543,4.4050000000000002,FEB 11,4.4219999999999997,MAR 11
40574,4.42,MAR 11,4.431,APR 11
40602,4.0369999999999999,APR 11,4.1100000000000003,MAY 11
40633,4.3890000000000002,MAY 11,4.4580000000000002,JUN 11
40662,4.6980000000000004,JUN 11,4.7610000000000001,JUL 11
40694,4.6660000000000004,JUL 11,4.7,AUG 11
40724,4.3739999999999997,AUG 11,4.3929999999999998,SEP 11
40753,4.1449999999999996,SEP 11,4.157,OCT 11
40786,4.0540000000000003,OCT 11,4.173,NOV 11
40816,3.6659999999999999,NOV 11,3.9619999999999997,DEC 11
40847,3.9340000000000002,DEC 11,4.056,JAN 12
40877,3.55,JAN 12,3.5779999999999998,FEB 12
40907,2.9889999999999999,FEB 12,3.016,MAR 12
40939,2.5030000000000001,MAR 12,2.6379999999999999,APR 12
40968,2.6160000000000001,APR 12,2.71,MAY 12
40998,2.1259999999999999,MAY 12,2.2589999999999999,JUN 12
41029,2.2850000000000001,JUN 12,2.3940000000000001,JUL 12
41060,2.4220000000000002,JUL 12,2.4809999999999999,AUG 12
41089,2.8239999999999998,AUG 12,2.8330000000000002,SEP 12
41121,3.2090000000000001,SEP 12,3.2120000000000002,OCT 12
41152,2.7989999999999999,OCT 12,2.9630000000000001,NOV 12
41180,3.32,NOV 12,3.6150000000000002,DEC 12
41213,3.6920000000000002,DEC 12,3.82,JAN 13
41243,3.5609999999999999,JAN 13,3.5840000000000001,FEB 13
41274,3.351,FEB 13,3.3650000000000002,MAR 13
41305,3.339,MAR 13,3.3919999999999999,APR 13
41333,3.4859999999999998,APR 13,3.5310000000000001,MAY 13
41362,4.024,MAY 13,4.0659999999999998,JUN 13
41394,4.343,JUN 13,4.3940000000000001,JUL 13
41425,3.984,JUL 13,4.0030000000000001,AUG 13
41453,3.5649999999999999,AUG 13,3.5590000000000002,SEP 13
41486,3.4460000000000002,SEP 13,3.4710000000000001,OCT 13
41516,3.581,OCT 13,3.6840000000000002,NOV 13
41547,3.56,NOV 13,3.7290000000000001,DEC 13
41578,3.581,DEC 13,3.6630000000000003,JAN 14
41607,3.9539999999999997,JAN 14,3.9569999999999999,FEB 14
41639,4.2300000000000004,FEB 14,4.1929999999999996,MAR 14
41670,4.9429999999999996,MAR 14,4.4539999999999997,APR 14
41698,4.609,APR 14,4.55,MAY 14
41729,4.3710000000000004,MAY 14,4.4039999999999999,JUN 14
41759,4.8149999999999995,JUN 14,4.843,JUL 14
41789,4.5419999999999998,JUL 14,4.524,AUG 14
41820,4.4610000000000003,AUG 14,4.4400000000000004,SEP 14
41851,3.8410000000000002,SEP 14,3.867,OCT 14
41880,4.0650000000000004,OCT 14,4.1159999999999997,NOV 14
41912,4.1210000000000004,NOV 14,4.1900000000000004,DEC 14
41943,3.8730000000000002,DEC 14,3.9590000000000001,JAN 15
41971,4.0880000000000001,JAN 15,4.085,FEB 15
42004,2.8890000000000002,FEB 15,2.8959999999999999,MAR 15
42034,2.6909999999999998,MAR 15,2.6870000000000003,APR 15
42062,2.734,APR 15,2.7709999999999999,MAY 15
42094,2.64,MAY 15,2.6909999999999998,JUN 15
42124,2.7509999999999999,JUN 15,2.802,JUL 15
42153,2.6419999999999999,JUL 15,2.665,AUG 15
42185,2.8319999999999999,AUG 15,2.8420000000000001,SEP 15
42216,2.7160000000000002,SEP 15,2.7490000000000001,OCT 15
42247,2.6890000000000001,OCT 15,2.7610000000000001,NOV 15
42277,2.524,NOV 15,2.7010000000000001,DEC 15
42307,2.3210000000000002,DEC 15,2.4900000000000002,JAN 16
42338,2.2349999999999999,JAN 16,2.29,FEB 16
42369,2.3370000000000002,FEB 16,2.363,MAR 16
42398,2.298,MAR 16,2.3319999999999999,APR 16
42429,1.7109999999999999,APR 16,1.8080000000000001,MAY 16
42460,1.9590000000000001,MAY 16,2.0539999999999998,JUN 16
42489,2.1779999999999999,JUN 16,2.3220000000000001,JUL 16
42521,2.2879999999999998,JUL 16,2.383,AUG 16
42551,2.9239999999999999,AUG 16,2.9180000000000001,SEP 16
42580,2.8759999999999999,SEP 16,2.9169999999999998,OCT 16
42613,2.887,OCT 16,3.0030000000000001,NOV 16
42643,2.9060000000000001,NOV 16,3.1320000000000001,DEC 16
42674,3.0259999999999998,DEC 16,3.1949999999999998,JAN 17
42704,3.3519999999999999,JAN 17,3.359,FEB 17
42734,3.7240000000000002,FEB 17,3.6840000000000002,MAR 17
42766,3.117,MAR 17,3.165,APR 17
42794,2.774,APR 17,2.87,MAY 17
42825,3.19,MAY 17,3.254,JUN 17
42853,3.2759999999999998,JUN 17,3.3529999999999998,JUL 17
42886,3.0710000000000002,JUL 17,3.109,AUG 17
42916,3.0350000000000001,AUG 17,3.0310000000000001,SEP 17
42947,2.794,SEP 17,2.8340000000000001,OCT 17
42978,3.04,OCT 17,3.1019999999999999,NOV 17
43007,3.0070000000000001,NOV 17,3.181,DEC 17
43039,2.8959999999999999,DEC 17,3.0259999999999998,JAN 18
43069,3.0249999999999999,JAN 18,3.032,FEB 18
43098,2.9529999999999998,FEB 18,2.9060000000000001,MAR 18
43131,2.9950000000000001,MAR 18,2.86,APR 18
43159,2.6669999999999998,APR 18,2.6959999999999997,MAY 18
43189,2.7330000000000001,MAY 18,2.778,JUN 18
43220,2.7629999999999999,JUN 18,2.8,JUL 18
43251,2.952,JUL 18,2.9649999999999999,AUG 18
43280,2.9239999999999999,AUG 18,2.9009999999999998,SEP 18
43312,2.782,SEP 18,2.798,OCT 18
43343,2.9159999999999999,OCT 18,2.9390000000000001,NOV 18
43371,3.008,NOV 18,3.0910000000000002,DEC 18
43404,3.2610000000000001,DEC 18,3.302,JAN 19
43434,4.6120000000000001,JAN 19,4.4189999999999996,FEB 19
43465,2.94,FEB 19,2.851,MAR 19
43496,2.8140000000000001,MAR 19,2.7650000000000001,APR 19
43524,2.8120000000000003,APR 19,2.823,MAY 19
43553,2.6619999999999999,MAY 19,2.7130000000000001,JUN 19
43585,2.5750000000000002,JUN 19,2.617,JUL 19
43616,2.4540000000000002,JUL 19,2.46,AUG 19
43644,2.3079999999999998,AUG 19,2.282,SEP 19
43677,2.2330000000000001,SEP 19,2.25,OCT 19
43707,2.2850000000000001,OCT 19,2.3239999999999998,NOV 19
43738,2.33,NOV 19,2.504,DEC 19
43769,2.633,DEC 19,2.7320000000000002,JAN 20
43798,2.2810000000000001,JAN 20,2.262,FEB 20
43830,2.1890000000000001,FEB 20,2.1579999999999999,MAR 20
